Iconuc-1 ;Iconuc-2 ;Tabarnuc-1 ;Tabarnuc-2 ;NucPlusUltra-1 ;NucPlusUltra-2 ; Gazby ; Pégaz-1 ; Pégaz-2 ; Samagaz ; Omaïgaz-1 ; Omaïgaz-2 ; Gastafiore ;Igaznodon-1 ;Igaznodon-2 ;Coron-1 ;Coron-2 ;Mockingjay ;Lantier ;Tacotac ;TicEtTac ;Hydro ; STEP pompage ; STEP turbinage; STEP_stock ; Batterie injection ; Batterie soutirage ; Batterie Stock ; RES ; load ; Net load 
900.0 ; 0.0 ; 900.0 ; 300.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1227.0 ;0.0 ; 0.0; -0.0 ;0.0 ; -0.0 ; 0.0 ;3037 ;  7664 ; 4627 
900.0 ; 0.0 ; 900.0 ; 300.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1190.0 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;2954 ;  7544 ; 4590 
900.0 ; 0.0 ; 900.0 ; 900.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1314.0 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;2760 ;  8074 ; 5314 
900.0 ; 0.0 ; 900.0 ; 300.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1825.0 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;2953 ;  8178 ; 5225 
900.0 ; 0.0 ; 900.0 ; 300.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1292.0 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;2813 ;  7505 ; 4692 
900.0 ; 0.0 ; 900.0 ; 900.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 401.0 ;0.0 ; 0.0; -0.0 ;0.0 ; -0.0 ; 0.0 ;2709 ;  7110 ; 4401 
900.0 ; 300.0 ; 900.0 ; 300.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 886.0 ;0.0 ; 0.0; -0.0 ;0.0 ; -0.0 ; 0.0 ;2198 ;  6784 ; 4586 
900.0 ; 355.0 ; 900.0 ; 900.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;2086 ;  6441 ; 4355 
900.0 ; 300.0 ; 900.0 ; 300.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 647.0 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;2086 ;  6433 ; 4347 
900.0 ; 300.0 ; 900.0 ; 300.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1044.0 ;0.0 ; 0.0; -0.0 ;0.0 ; -0.0 ; 0.0 ;2047 ;  6791 ; 4744 
